Description,Key Partners,Key Activities,Key Resources,Value Propositions,Customer Relationships,Channels,Customer Segments,Cost Structure,Revenue Streams,Company,,,,,,,
"Almost every active Internet user in the world has used Google. Google uses this starting point to sell better listings to companies. The cash cow of the Google empire is Google Ads,",OEMs for mobile devices,R&D; creation of new and improvement of existing products & services,Brand,"Web search engine, calendar & mail services, social network (Google+), web mapping services, customer reviews",Interaction with customers mainly through web services,Various Google websites,Internet Users,Brand,Various Google websites,google-alphabet,,,,,,,
,Developers,Management of data centers and other IT infrastructure,Patents,Targeted advertising through AdWords & AdSense,Google I/O event for developers,,Advertisers,Patents,,,,,,,,,
,Advertisers,Marketing & sales,Data centers & IT infrastructure,Mobile operating system and platforms: Android & Chrome,Sales & support teams for advertisers and network partners,,Mobile device manufacturers & owners,Data centers & IT infrastructure,,,,,,,,,
,,Strategy & alliances,Human resource,Hosted web-based apps,,,Developers,Human resource,,,,,,,,,
,,,,,,,Businesses,,,,,,,,,,
"After beginning as a marketplace for accommodations, Airbnb expanded their website to include a category for experiences and restaurants, allowing customers to book experiences such as sightseeing tours, cooking classes, and a variety of cultural activities directly through the Airbnb website, as well as receive recommendations for activities near their booked accommodation.",Travel community operators,Creating technological infrastructure & design,Brand,Trustful & reliable platform,Support team,Website,Individual travellers,Platform development & design,Commission renters (6-12% of booking fee),airbnb,,,,,,,
,Bloggers,Community management,Community of home providers & travellers,Free membership,Online & mobile applications,Mobile app,People who want to rent out their place,Human resources,Commission home/ apartments owners (3% of each booked place),,,,,,,,
,Legal institutions,Customer service,Data base with accomodations,24/7 support team,,Social media,,Marketing,,,,,,,,,
,Investors,Marketing,,Easy to use,,Blog,,Maintenance of the payment system,,,,,,,,,
,Insurance companies,Product development,,Rental of unique spaces,,PR,,,,,,,,,,,
,,Management of international payment system,,Use of unused value,,Word of mouth,,,,,,,,,,,
,,,,Property insurance coverage,,,,,,,,,,,,,
Amazon use the affiliate model to market both third-party merchants' items and its own via compensated promoters who advertise their products. Amazon can monitor each website visitor to their source via individually trackable links and so has visibility into the amount of sales generated by affiliates.,Logistics companies for delivery of goods,Marketing and sales,Website,Consumer goods: easy and convenient buying of all kinds of goods,"Long term relationships, repeat customers",Amazon's main website,Private customers,Staff,Sales of goods,amazon-retail,,,,,,,
,,Development of new customer services and features,Access to millions of customers,Largest online retail platform,Unique hassle free customer experience,"Dedicated websites for the various services, e.g. amazonsupply.com or fresh.amazon.com",Business and industry customers,IT Infrastructure,,,,,,,,,
,,Software development,IT Infrastructure,Business groups offering special products,Lock in customer with services like Amazon Prime,,,Warehousing and logistics,,,,,,,,,
,,"Warehousing, fulfillment and logistics",Warehousing and logistics,,,,,Software development,,,,,,,,,
,,orporate Credit Lines,Brand,,,,,,,,,,,,,,
"Oura sells the Oura Ring and related services to private consumers, but also to companies that want to promote the health and wellbeing of their employees, as well as to companies/organisations that are sports- or health-oriented. ",Manufacturing Companies,Hardware development,Brand,Private Health analysis,Support team,Website,Health conscious consumers,Platform development,Hardware sales of Oura Ring,oura,,,,,,,
,Research Institutes,Research,Community of user,Better Health,Mobile App,Mobile app,Enterprises focused on sports/health,Platform design (UI/UX),Subscription Service for Oura Health App,,,,,,,,
,Investors,Customer Service,Community of provider,Basic free membership,Website,Social media,Enterprises focused on employee wellbeing,Human resources,Hardware sales to enterprises,,,,,,,,
,,Marketing,,Easy to understand,,Blogs,,Marketing,,,,,,,,,
,,Software development,,Better productivity and better future management,,Word of Mouth,,Hardware development,,,,,,,,,
,,Service upkeep,,,,Enterprise Partners,,,,,,,,,,,
"The company earns the majority of its revenue through its features and add-ons. Examples of add-ons are, as mentioned above, Superswipe or Spotlight, where Bumbel requires its users to pay so-called ""Bumbel-Coins"". Such transactions are also called ""micropayments"". The company earns quite a lot with this, because many users don't mind paying such small amounts.",Users,App development,Brand,Feminin concept - Women make the first move,Location based partner search,Word of mouth,Single men and women between 18 and 60 years old,Servers and Data storage,Advertisement,bumble,,,,,,,
,App developers,Platform maintenance ,Community of user,Connection creation - people building meaningful and healthy personal and professional relationships,Virtual selection,Mobile app,"People looking for friendships, or professional relationships",Engineers,"Preemium (23,90??per month)",,,,,,,,
,Investors,Community management,App,Free membership,Mobile application,App store,,Maintenance,Add - ons (Users paying for additional features (1.1 million paying users) ?? Micropayments,,,,,,,,
,Partners,Guarantee security,User data,Safe online community - Harassment free dating space for women,Profiles,Website,,Marketing and Sales,,,,,,,,,
,,Marketing,,,,Press,,App Development,,,,,,,,,
,,Product development,,,,Social media,,,,,,,,,,,
TikTok advertises on their platform with different advertising partners. They are also testing native advertising on their platform.,App developers,App development,Technology,Quick and easy video creation,Users can share their videos on different platforms,Website,Android/iPhone users,Server & Data Maintenance,Gift sales (merch),tiktok,,,,,,,
,Investors,Design,User base,Lip-sync videos,Online application,Mobile App,Celebrities,Platform & Development,Brand partnerships,,,,,,,,
,Content providers,App maintenance,Network,Large music library,Mobile application,Social Media,Brands,Customer Service,Native advertising (in test),,,,,,,,
,ByteDance,User data maintenance,Advertisers,Wide range of visual effects and filters,Prominent accounts,App Store,Gen Z,Music Copyright,,,,,,,,,
,Marketing Partner,,Algorithm,Free membership,Duet videos with other users,word to mouth,,,,,,,,,,,
,,,In-App Video Editor,,Challenges,,,,,,,,,,,,
"Patagonia also offers an affiliation programme. The affiliate partners can place links to Patagonia on their various platforms. If these links are called up and a purchase is made, the affiliate partner in return receives commissions of 8% from these customer purchases. The company AvantLink manages the partnerships for Patagonia.",Founding member 1% for the planet,Research & development,Values & principles,Clothing that is produced sustainably as far as possible,Close customer loyalty through focus on niche,Website and physical stores,Environmentally conscious consumers,Employees,Product sales,patagonia,,,,,,,
,Retailer,Product design,Employees,The best products because the production is geared towards minimal impact,Online and physical retail,Worn Wear Tour,Athletes/ Climbers,Raw material,,,,,,,,,
,Suppliers and producers,Manufacturing,Corporate culture,Actively participates in the solution to the climate crisis and its implementation,"Products can be cleaned, repaired, recycled or resold by customers through Patagonia",Events and sponsorships,,Marketing,,,,,,,,,
,Affiliate programme,Distribution,Sustainability,1% of annual sales is donated to the protection and preservation of the environment,,Social networks,,Logistics,,,,,,,,,
,"Investment in Yerdle, a start-up with the goal of extending the life of used but underused goods.",Marketing,Intellectual property,Offer to repair or recycle older products,,Word of mouth,,Distribution,,,,,,,,,
,,Technological progress,Anti-consumerist marketing,Recyclability of the products,,,,Sales,,,,,,,,,
,,Social events,B-Corporation certification,Functioning Active Ware,,,,Rent for physical shops,,,,,,,,,
