Company,Description,Key Partners,Key Activities,Key Resources,Value Propositions,Customer Relationships,Channels,Customer Segments,Cost Structure,Revenue Streams
tupperware,"Earl Silas Tupper created the company in 1946 and it is headquartered in Orlando, Florida. The company sells products for preparing, storing, and serving food, as well as cookware and microfibre fabrics, under the Tupperware brand name. Additionally, the company distributes beauty products such as skin and hair care, cosmetics, fragrances, jewelry, and nutritional supplements. The company's products are sold directly to consumers through an independent sales force operating outside of regular retail outlets. The corporation is segmented geographically into four regions: Europe, Asia Pacific, North America, and South America. Asia Pacific earns the greatest amount of revenue of any geographic region.","Tupperware brands (owner), Brands group ( tupperware, avroy shlain, beauticontrol, fuller, naturcare nutrimetrics and nuvo), 3.1 million independent companies around the world, In China, Tupperware products are sold through franchises, Payment gateways, Affiliate partners","Development, Production, International Distribution, Global platform, Trainings, Workforce Management, Sales","Formerly patented ""Burping Seal""., ""Carrot-calling"" technique, Tupper parties, 1.9 million direct sellers, Brand, 100 sales countries","Tupperware pioneered direct marketing in the form of the Tupper Party, Practical products for preparing, storing and serving food and beauty products","Direct sales model, Well known brand, On-to-One / Door to Door, Live product presentations, Tradition, Website, cultural/historical influence","Representatives, Tupper-Parties, Online Tupper-Party, Website, Customer Service, Social Media, Blog",Private households,"Raw material, Internal distribution, Product manufacturing costs, Logistics, Website costs, Generous commissions and bonuses for consultants, Commissions E-host, Steuren","Product sales, E-commerce sales, Online Tupper Party Sales"
Zalando,"Zalando is an online retailer specializing in selling fashion and lifestyle products by offering a great product variety and a comfortable shopping experience. The company was established in October 2008 in Germany and initially focused on a broad product selection of shoes. Over the years, it extended into other fashion categories such as clothing and further expanded its retail services in a total of 15 European countries. It relates to fashion, internet technology, marketing and logistics as its fundamental pillars and wants to be a pioneer in these.","Suppliers/ Brands, Logistics partners, Bloggers","Marketing & Branding, Customer service & communication, Negotiations with distributors, Logistics planning, IT Management","Knowledge about fashion, marketing, IT, logistics, Product variety, Image, Investors","Easy & secure online shopping experience, Excellent customer service, Detailed product information & consulting, Inspiration, Low cost shopping","Communication via social media, Zalando lounge, Newsletter, TV campaigns","Website, Presence on many social media platforms","Women, men, children, Lifestyle & fashion- conscious individuals, Cost-conscious shoppers","Maintenance of customer service & IT infrastructure, Content, Purchasing costs for products, Distribution costs",Profit margins (market-oriented pricing)
forbes,"Forbes Inc. publishes a magazine eight times a year. Forbes is best known for its ""Forbes 400"" rating of the wealthiest Americans, the ""Forbes Global 2000"" ranking of the world's largest firms, and other rankings including ""Forbes List of the World's Most Powerful People"" and ""The World's Billionaires."" The Forbes Family: founders and contributors continue to control a portion of the magazine; the remaining share has been owned by the Hong Kong business ""Integrated Media Investments"" since 2014. The journal is distributed worldwide in 27 countries and areas. They also published other smaller journals and websites such as ""Forbes.com"" and ""RealClearPolitics."" Additionally, they have their own streaming platform, ""Forbes8,"" as well as a platform for SMEs and MSMEs, ""Forbes Business Council.""","Advertising partner, Business customers, Private customers, Printers , Authors, Agencies, Distribution networks, Charitable projects (Girls Write Now, HEAF, NJ Cares, ...)","Content production (data collection, interviews, photos, ...), UX design, Platform management, Target group development, Marketing, Supply / Access","Info, Journalists, Editors, Graphic designers, Brand name, B2B Network, Public Figures (CEOs, Celebrities, Influencers, ...), Platform","High quality of the magazine, Advertising on its channels, Rankings, Information and inside stories about the most influential people, most important events, latest theories and strategies in the business world through presence on numerous platforms and a globally networked team of editors, journalists, contributors etc. Covering a wide range of topics, Thought-provoking, relevant journalism for success-oriented people","Directly through articles and events, Interactive through comment functions","Events, Newsletter, Website, Social Media, Print Magazine","Entrepreneur, Young Professionals, ""Decision Maker"", Start-up founders, Investors, Women (business affine)","Staff costs, Content rights, Photo and image rights, Platform development and maintenance, IT infrastructure, Distributor network, Agencies, Interviews, photos, research, Organisational donations (Girls Write Now, ...)","Sale of their products, Advertising, Sale of shares, Planned IPO"
sonos,"Sonos is an audio product developer and manufacturer. John MacFarlane, Craig Sherlburne, Tom Cullen, and Trung Mai formed the company in 2002. Santa Barbara, California is home to the company's headquarters. Sonos' most well-known product is its multi-room audio system. The company sells a variety of speakers and audio components, including soundbars, television sound systems, and subwoofers. Each product is reasonably simple to set up and operate. By 2021, Sonos will have a presence in more than 60 countries, offer more than 50 streaming services, and have filed over 500 patents for its innovative technology. It wishes to transform hearing into an intensive experience that hits everyone uniquely. Its mission is to make music accessible to everyone in every room of the house. Sonos received the World Media Awards 2020's Technology and Telecommunications category for its multiplatform campaign. Additionally, the firm was awarded the iF Design Award 2021 for its packaging design for the Sonos Arc.","Investors, Component manufacturer, Product designers, Engineers, Authorised dealers, Snips SAS (Voice Control Solutions), Partnerships with streaming providers","Research & Product development, Design, Sales, Marketing, Production","500+ patents, Streaming service offer, Broad distribution","""Fill every Home with Music"", High quality, Sophisticated design, Easy to use, Universal use in every room of the house","Brand Awareness, Reputation, Quality, Consumer involvement in product development","Online Shop, Retailer, Website, Social Media, Customer Service","Private clients, Company","Component costs, Production, Development and maintenance of production, Marketing, Acquisitions, Fees (Apple, Spotify, etc.)","Product sales, Sonos Radio HD"
nike,"Nike designs, markets, and distributes footwear, apparel, equipment and accessories for many kinds of sports and fitness activities. Being one of the world's largest suppliers of athletic footwear and apparel, Nike transformed its business model after it had been criticized for its labor practices in sweatshops in countries such as China or Vietnam. A weak demand in Nike's products due to its damaged image created a shift towards a new model where sustainability and innovation play a key role.","Manufacturers, Celebrities, Other organizations (e.g NASA)","Marketing & Branding, Advancing corporate responsibility, Design, Product development, Procurement","Brand, Contracted factories, Partnerships with celebrities","Authentic sportswear, Modern & fashionable, Customized products, Better world with Nike","Sponsorships, Social media, Customization","Online shop, Nike retail stores, Authorized retailers","Professional & amateur athletes, Sports team","Marketing, Human resources, Procurement, Sponsorships",Product sales
dollar-shave-club,"Dollar Shave Club is a mail-order razor and personal grooming goods firm established in Venice, California. It offers home delivery of razor blades and other grooming goods on a monthly basis. Mark Levine and Michael Dubin established Dollar Shave Club. The duo met at a party and exchanged complaints about the high cost of razor blades. They began operations in January 2011 and launched their website in April 2011 using their own funds and investments from start-up incubator Science Inc. Dollar Shave Club received funding from a number of venture capitalists. In March 2012, seed investors contributed $1 million, including Kleiner Perkins Caufield & Byers, Andreessen Horowitz, and Shasta Ventures. In October 2012, the same consortium invested $9.8 million in series A funding, joined by Venrock. A year later, Venrock, Comcast Ventures, New World Investors, and Battery Ventures led a $12 million series B round. Dollar Shave Club revealed during the fundraising announcement that company would be expanding its product portfolio to include a dozen additional men's goods in 2014. The company raised $75 million in series D fundraising in June 2015. Dollar Shave Club was acquired by Unilever in July 2016 for an estimated $1 billion in cash.","Start-up incubator science inc, Venture capitalists, dollar Shave club was acquired by unilever for a reported $1 billion in cash, Youtube as a viral channel, Manufacturers, Distributors, Payment companies","Production, Warehouse and fulfillment, Logistics, Social media, Marketing, Ecommerce operation","Venture capital, Website, Product designers, Customer service, Warehouse, Third-party logistics center","No more over-paying for fancy brand name shave tech, No more forgetting to buy your blades, Providing their customers a high-quality product while saving money, Delivers razor blades on a monthly basis and offers additional grooming products for home delivery","Razor for just $1, Free shipping, Pay one low monthly fee, Choose the frequency, Cancel anytime with a few clicks, Money-back guarantee, Three membership plans","Website, Social media, E-gift card, Member-club","Men who don’t have time or like shopping, Target group mainly men, 20% of its customers are women","Shipping and distribution, Advertising, Warehouse, Product development","One month trial for any razor for just $1. after that dollar shave club offers three plans: ""the humble twin"" (two blades per razor, five razors per month, $3 per month), ""the 4x"" (four blades, four razors, $6) and ""the executive"" (six blades, four razors, $9), The company also sells related accessories"
red-bull,"Dietrich Mateschitz created the Red Bull recipe and launched the company Red Bull GmbH in the mid-1980s. Red Bull GmbH is a firm that produces energy drinks. Originally, Red Bull was inspired by Chaleo Yoovidhya's Krating Daeng, a Thai drink (Red Bull, 2013). Mateschitz then collaborated with Yoovidhya to re-create the cocktail for a Western audience. On April 1, 1987, Red Bull was first offered in Austria, launching an entirely new category of 'energy drink' in the beverage market. Since then, Red Bull has maintained its limited product line's success, and it has lately introduced additional drink versions with various flavors. It is now the world's most popular energy drink, with 7.9 million cans sold each year. Red Bull is also noted for its innovative marketing strategies and outstanding sponsorship in a variety of sports.","Raw materials suppliers, Water from the alps, Network of distributors, Retailers, Events companies, Sports sponsorships and acquisitions, Endorsements, Celebrities, Eco-friendly","Wall-to-wall production, Smart transport (produces less co2 emissions), Efficient cooling (through eco-friendly coolers), Marketing and sponsorships activities, Media channels","Brand, Extreme sports connections, Great marketing, Ecosystem, Highest market share of any energy drink in the world, Available in 171 countries, The red bull cans","New product category - the energy drink, Extraordinary media channels, Great content, Their manufacturing process uses up to 80% of its energy from renewable resources, The energy drink has created a market for over 150 related types of products","""red bull gives you wings"", Extreme sports, Risk, Adventure, Adrenaline, Social media and website, Sustainable","Retailers, Sponsored, Athlete community, Wings team, The red bull house of art, Social networks, Video platforms, Tv, Red Bull TV, Music and video games, Red Bull Mobil, Events ( ""red bull flugtag"", red bull air race, ""red bull house of skate""), App store, Itunes, Red Bull magazine, Servus TV, Red Bull Media House","Top athletes, Students, Highly demanding professions, Young people mostly with extreme sports, Media platforms","Salaries, Rent and utilities for distribution centers, Hqs, Vehicles, Materials/product, Marketing, Events, Media companies, Content generation","Red Bull, Red Bulletin, Red Bull Media House, Red Bull TV, Red Bull Mobile"
ted,"TED (Technology, Entertainment, Design) is a nonprofit devoted to the mission of spreading ideas to create an impact on attitudes, lives and ultimately, the world. The organization provides a platform to share free knowledge and inspiration from inspired thinkers and supports community building of curious and inquisitive individuals to engage with ideas and each other. TED incorporates a combination of paid-for and free products, the latter can be offered due to the revenues generated by the big annual conference.","Developers, Sponsors, Translators, Speakers, Organizers of TEDx events","Communication & Design, Community management, TED programs management, Fundraising, Conference management, Partnership management","Brand, Global social network, Speakers","Spreading of ideas that can change attitudes and life, Free knowledge & inspiration, Talks available on multiple channels, Coverage of wide range of topics, Creating solutions to global problems","TED Community, Online conversation/ Social media, Possibility to translate TED talks, Participation in TED Prize, Possibility to organize a local TEDx event","TED Radio Hour,TV programs, DVDs, books, Distribution partners (e.g. youtube, netflix), mobile apps, TED Conference, TEDx events, Website, Blog","Innovators, People with curious & open mindset, change makers, TEDx organizers, Individuals and organizations looking for inspiration","Organization of the conferences, Technological maintenance, Human resources","Ticket sales for conferences, Sponsorships, Membership, Private donations, Advertisements"
spotify,"Spotify is a Swedish audio streaming and media services company created by Daniel Ek and Martin Lorentzon on 23 April 2006. As of June 2021, it is one of the world's largest music streaming services, with over 365 million monthly active users, including 165 million paid members. Spotify is listed on the New York Stock Exchange in the form of American depositary receipts (via a Luxembourg-based holding company, Spotify Technology S.A.). Spotify provides digital copyright-restricted recorded music and podcasts from record labels and media firms, including over 70 million songs. As a freemium service, basic functions such as offline listening and limited control are available for a fee, while further features such as commercial-free listening and offline listening are available via paid subscriptions. Users can do artist, album, or genre searches and build, update, and share playlists.","Record labels, Retailers (e.g. broadcasters, blog, festivals), Developers","Platform development & maintenance, Product design & user experience, Customer service","Licensing agreements, Software","Free streaming music, Customized playlist, Music on all devices, Fast growing music catalogue","Automated services, Community, Customer service","Website, Mobile app/ tablet/ TV, Offline","Music fans, Advertiser","Royalties, Bandwidth costs, Human resources","Free (ad- supported unlimited), Premium subscription, Advertising"
juul,"JUUL is an e-cigarette manufacturer of smoking systems consisting of a battery, a heater and a capsule containing nicotine salts. However, only the capsules manufactured by JUUL can be used. JUUL capsules have different flavours and an above-average nicotine content. Advertised with bright colours and the design of the product, they want to position themselves as the ""iPhone"" of the e-cigarette market, which is also reflected in their advertising. The target group is much mainly young people, for which JUUL has received some complaints and criticism in recent years.","E-cigarette shops, Suppliers of parts (e.g.: batteries), Distribution networks, Tobacco industry (Altria -> invested in JUUL), Retail (sale of pods)","Production of e-cigarettes, Production of the liquit, respectively the nicotine salts, Sales, Marketing (new strategy due to regulations and backlash: example Instagram and Facebook), Customer service","Nicotine salts, Electronic components, Pod Systems, Human Resources, Patents (including for wickless vaporisation devices, nicotine salt formulation, ...), Factories, Transportation","Very high nicotine content, Alternative/supplement to normal smoking, Different flavours, Attractive design, Smokeless nicotine intake (reduces health damage caused by smoke inhalation)","iPhone of the e-cigarette market, Rapid dependence due to strong nicotine salts, Online store (e-cigarettes and pod - subscription), Indirect sale, Customer service (warranty, operation, ...)","Website, Social Media, Community Forum, E-cigarette shops, Online Store","Smokers, Non-smokers, Young people (18+)","Production costs, Design costs, Personnel costs, Delivery costs, Penalties, Lobbying costs, Advertising costs",Sale of their products (directly and indirect)
